Date,Building Number,Project Name,Address,Status,Url
01/31/2006,2006-001054,FREE STANDING BUILDING,"951 DUNCAN RD BLDG 300, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=00049&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001053,SINGLE FAMILY STICK BUILT,"5601 BLACK IRON TRL, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09482&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001081,SINGLE FAMILY STICK BUILT,"4351 ASHEVILLE LN, SMYRNA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09481&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001080,SINGLE FAMILY STICK BUILT,"5731 SULLIVAN POINT DR, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01131&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001079,SINGLE FAMILY STICK BUILT,"5752 SULLIVAN POINT DR, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01130&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001078,POOL,"1800 LEIGHTON LN, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01129&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001077,BARRIER,"1800 LEIGHTON LN, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01128&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001076,POOL,"2615 MARS HILL CHURCH RD, ACWORTH GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01127&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001075,BARRIER,"2615 MARS HILL CHURCH RD, ACWORTH GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01126&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001074,RETAINING WALL,"4128 ONSLOW PL, 5, SMYRNA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01125&agencyCode=COBBCO&IsToShowInspection=
