Date,Building Number,Project Name,Address,Status,Url
01/31/2022,2022-000822,COMMERCIAL REMODEL,"2535 DALLAS HWY, MARIETTA GA 30067",Issued,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00159&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000820,COMMERCIAL NEW TENANT WITH ALTERATIONS,"900 CIRCLE 75 PKWY SE, SUITE 1200, ATLANTA GA 30339",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00158&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000813,ELECTRICAL,"1590 ROBERTS RD, GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00156&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000802,COMMERCIAL NEW TENANT,"1255 JOHNSON FERRY RD, SUITE 26, MARIETTA GA 30068",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00155&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000799,COMMERCIAL CELL SITE COLO,"3951 MARY ELIZA TRCE, MARIETTA GA 30064",Issued,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00154&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000790,VACANT TENANT - INT DEMO ONLY,"225 CHASTAIN MEADOWS CT NW, FLOOR 100, KENNESAW GA 30152",Issued,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00153&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000788,COMMERCIAL FREE STANDING,"2160 COOPER LAKE RD, SMYRNA GA 30080",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00152&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000787,COMMERCIAL FREE STANDING,"2160 COOPER LAKE RD, SMYRNA GA 30080",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00151&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000785,COMMERCIAL FREE STANDING,"2160 COOPER LAKE RD, SMYRNA GA 30080",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00150&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000781,COMMERCIAL FREE STANDING,"2160 COOPER LAKE RD, SMYRNA GA 30080",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00149&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000777,NEW TENANT -  INTERIOR ALTERATION,"1234 POWERS FERRY COMMON, SUITE 100, MARIETTA GA 30067",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BLD&capID2=00000&capID3=00148&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000827,SINGLE FAMILY STICK BUILT,"3843 CLARINGTON DR, MARIETTA GA 30066",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00652&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000826,PLUMBING,"4424 SE OAKDALE VININGS LNDG, SMYRNA GA 30080",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00651&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000825,Water Heater Replacement,"4785 CREST PARK Ln LN, MARIETTA GA 30068",Issued,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00650&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000824,SINGLE FAMILY STICK BUILT,"2581 BEECHWOOD DR NE, MARIETTA GA 30062",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00649&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000823,SINGLE FAMILY STICK BUILT,"3848 CLARINGTON DR, MARIETTA GA 30066",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00648&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000821,RENOVATION,"3689 COCHISE DR, ATLANTA GA 30339",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00647&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000819,BASEMENT FINISH,"658 DENALI DR, MABLETON GA 30126",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00646&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000817,ADDITION,"3711 PHEASANT CIR, MARIETTA GA 30067",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00645&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000816,RETANING WALL,"1940 TRISTAN DR, SMYRNA GA 30080",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00644&agencyCode=COBBCO&IsToShowInspection=
01/31/2022,2022-000815,ADDITION,"608 BOSTIC HILL CT, MARIETTA GA 30067",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22BHM&capID2=00000&capID3=00643&agencyCode=COBBCO&IsToShowInspection=
