Date,Building Number,Project Name,Address,Status,Url
04/30/2013,2013-003449,NEW TENANT - INTERIOR RENO,"425 ERNEST BARRETT PKWY, SUITE 1040, KENNESAW GA 30144",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BLD&capID2=00000&capID3=01142&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003443,RENOVATION INTERIOR,"2727 PACES FERRY RD, SUITE 450, ATLANTA GA 30339",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BLD&capID2=00000&capID3=01141&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003440,ELEC,"1709 SOUTH COBB DR, SUITE 114, SMYRNA GA 30080",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BLD&capID2=00000&capID3=01140&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003439,VACANT TENANT - MOVE IN,"1709 COBB DR, SUITE 114, SMYRNA GA 30080",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BLD&capID2=00000&capID3=01139&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003428,NEW TENANT - MOVE IN WITH ADA ACCESSIBLE ENTRANCE RAMP,"1857 WALDREP CIR, MARIETTA GA 30060",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BLD&capID2=00000&capID3=01138&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003418,NEW TENANT - INTERIOR RENO,"4401 SHALLOWFORD RD, SUITE 154, ROSWELL GA 30075",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BLD&capID2=00000&capID3=01137&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003416,NEW TENANT - MOVE IN,"4870 FLOYD RD, SUITE 42, MABLETON GA 30126",Issued,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BLD&capID2=00000&capID3=01136&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003448,PLUMBING,"2841 BIRCHWOOD WAY, MARIETTA GA 30060",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02235&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003447,ELEC,"163 OTIS CIR, MARIETTA GA 30060",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02234&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003446,PLUMBING,"30 HARRIS DR, MARIETTA GA 30067",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02233&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003445,BSMT,"549 RIVERCLIFF TRCE, MARIETTA GA 30067",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02232&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003444,ELECTRIC,"100 GALLERIA PKWY SE, SUITE 1030, ATLANTA GA 30339",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02231&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003442,SINGLE FAMILY STICK BUILT,"4045 COOKS FARM DR, KENNESAW GA 30152",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02230&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003441,RENOVATION,"3275 BROOKVIEW DR NE, MARIETTA GA 30068",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02229&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003438,SINGLE FAMILY STICK BUILT,"5126 VANSANT TRL, POWDER SPRINGS GA 30127",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02228&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003437,SINGLE FAMILY STICK BUILT,"480 TWAIN CIR, MABLETON GA 30126",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02227&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003436,BARRIER  RES,"808 SYLVAN DR, MARIETTA GA 30066",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02226&agencyCode=COBBCO&IsToShowInspection=
04/30/2013,2013-003435,POOL RES,"808 SYLVAN DR, MARIETTA GA 30066",Certificate of Completion,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13BHM&capID2=00000&capID3=02225&agencyCode=COBBCO&IsToShowInspection=
