Date,Building Number,Project Name,Address,Status,Url
05/31/2006,2006-006151,RENOVATION,"2400 NEW MACLAND RD, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=03166&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006142,SINGLE FAMILY STICK BUILT,"970 SANDTOWN PLACE DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09304&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006141,SINGLE FAMILY STICK BUILT,"975 SANDTOWN PLACE DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09303&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006169,SINGLE FAMILY STICK BUILT,"4794 TERRAMOND LN, SMYRNA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09301&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006150,REPERMIT,"1850 BATTLEFIELD RD, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06999&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006149,BSMT,"3316 AVIARY TRCE, ACWORTH GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06998&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006146,PLUMBING,"1537 HAVEN CREST DR, POWDER SPRINGS GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06995&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006145,SINGLE FAMILY STICK BUILT,"4070 COOKS FARM DR, ACWORTH GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06994&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006144,HEAT,"2461 PRINCE HOWARD WAY, MTTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06993&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006143,MOVE IN,"3163 CANTON RD, 3, GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06992&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006170,SINGLE FAMILY STICK BUILT,"2520 KOLB MANOR CIR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06931&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006168,SINGLE FAMILY STICK BUILT,"2524 KOLB MANOR CIR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06930&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006167,WATER HEATER,"3250 COLQUITT TRL, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06929&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006166,HEATING,"3255 ASHGROVE LN, AUSTELL GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06928&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006165,HEATING,"3291 BELMONT GLEN DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06927&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006164,HEATING,"3670 LA VILLA DR, POWDER SSPRINGS GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06926&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006163,HEATING,"2937 TORREYA WAY, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06925&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006162,HEATING,"3149 FERN VALLEY DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06924&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006161,HEATING,"5036 GARDENIA CIR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06923&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006160,HEATING,"3852 COHUTTA PASS, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06922&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006159,HEATING,"1634 SONYA DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06921&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006158,HEATING,"1391 BENBROOKE LN, ACWORTH GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06920&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006157,RENOVATION,"3625 DALLAS HWY, 820, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06919&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006156,HEAT,"1980 SHILOH RD, 200, KENNESAW GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06918&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006155,HEAT,"171 PORT PATRICK LN, MABLETON GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06917&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006154,PLUMBING,"5086 SPRING ROCK TER, ROSWELL GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06916&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006153,RENOVATION,"3625 DALLAS HWY, 830, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06915&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006152,HEAT,"4931 WILLOW COVE WAY, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06914&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006140,SUNROOM,"5404 WOODBERRY CIR, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06890&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006139,GARAGE,"402 PINELAND RD, MABLETON GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06889&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006138,BRICK,"5587 FORKWOOD DR, 42K, ACWORTH GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06888&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006137,POOL,"5890 BROOKSTONE WALK, 50P, ACWORTH GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06887&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006136,VINYL SIDING,"2651 MARLEIGH FARM RD, KENNESAW GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06886&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006135,SINGLE FAMILY STICK BUILT,"5591 BLACK IRON TRL, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06885&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006134,VINYL SIDING,"4521 DARTMOOR DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06884&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006133,WATER HEATER,"1037 GRANDVIEW CIR, POWDER SPRINGS GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06883&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006132,WATER HEATER,"5857 OLDE BRIDGE CT, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06882&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006131,WATER HEATER,"4200 GLENLAKE PKY, 97A, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06881&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006130,PLUMBING,"2649 BRIDGEHAMPTON RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06880&agencyCode=COBBCO&IsToShowInspection=
