Date,Building Number,Project Name,Address,Status,Url
12/29/2006,2006-014612,SINGLE FAMILY STICK BUILT,"2520 MURDOCK RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=00068&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014616,RENOVATION,"2900 DELK RD EXT, 1450, GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03731&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014614,RENOVATGION,"2355 CUMBERLAND PKY, 10, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03714&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014607,RENOVATION,"280 INTERSTATE NORTH, 200, GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03691&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014603,ELECTRIC,"4903 DUE WEST RD, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00714&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014624,SINGLE FAMILY STICK BUILT,"1465 WHITE ROSE CT, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00713&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014613,STORAGE BLDG,"3241 HICKORY CREST DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00655&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014628,SINGLE FAMILY STICK BUILT,"160 PALMER OAKS LN, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00654&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014627,BASEMENT,"2932 PERRINGTON CT, 22H, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00653&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014626,BASEMENT,"4831 RIVER FARM RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00652&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014630,SUNROOM,"2057 MULKEY RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00651&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014615,REPERMIT FROM 0610305RB,"4816 OVERLAND DR, POWDER SPRING GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14973&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014629,BASEMENT,"2145 WOLBERT TRL, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14972&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014625,BASEMENT,"4174 NE SUMMIT WAY, 26C, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14971&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014623,BANNER,"2140 BANKHEAD HWY, GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14969&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014622,FREESTANDING,"3417 CANTON RD BLDG 3, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14968&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014621,WALL SIGN,"5500 SOUTH COBB DR, 1 & 2, SMYRNA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14967&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014620,WALL SIGN,"2359 WINDY HILL RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14966&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014619,WALL SIGN,"4880 LOWER ROSWELL RD, 620, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14965&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014618,SPDS,"4560 BELLS FERRY RD, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14964&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014617,FREESTANDING,"4120 CANTON RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14963&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014611,HEAT,"4013 CRIPPLE CREEK DR, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14962&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014610,HEAT,"4303 GRAND OAKS DR, ACWORTH GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14961&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014609,HEAT,"1931 COOPER LANDING DR, SMYRNA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14960&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014608,HEAT,"1199 ROCKCREST DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14959&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014606,HEAT,"1945 CONVERSE DR, MARIETTA GA",Cancelled,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14958&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014605,ELECTRIC,"0 CANTON RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14957&agencyCode=COBBCO&IsToShowInspection=
12/29/2006,2006-014604,ADDITION,"3637 KELSEY CHASE CT, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14956&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014587,ASSEMBLY,"2480 MACLAND RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03715&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014573,DEMO,"2143 AUSTELL RD, GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03690&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014575,BUSINESS,"2675 PACES FERRY RD, 215, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03689&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014571,BUSINESS,"2727 PACES FERRY RD, 370, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03688&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014542,RENOVATION,"5500 SOUTH COBB DR, 3, GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03683&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014560,SINGLE FAMILY STICK BUILT,"1980 BRAYTON CT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00722&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014559,SINGLE FAMILY STICK BUILT,"1970 BRAYTON CT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00721&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014563,SINGLE FAMILY STICK BUILT,"170 HOLLINGER WAY, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00720&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014562,REPERMIT,"279 EAST VALLEY DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00719&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014565,SINGLE FAMILY STICK BUILT,"180 HOLLINGER WAY, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00718&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014570,REPERMIT FROM 0608478RB,"4506 FOX CREEK DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00717&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014585,SINGLE FAMILY CLUSTER,"4553 GATEWAY CT, SMYRNA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00716&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014595,SINGLE FAMILY STICK BUILT,"4531 WORTHINGS DR, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00715&agencyCode=COBBCO&IsToShowInspection=
